,spoc,riemann,n_components,fold_idx
0,0.33628632952708437,-0.08817638709282738,1,0
1,0.3456100155802967,-0.034604549070887725,1,1
2,0.30746208662654007,0.057421724784701644,1,2
3,0.4554618699492161,0.057421724784701644,1,3
4,0.40958213291779144,-0.02919092291746761,1,4
5,0.3070082587824562,-0.10670746522909602,1,5
6,0.30746208662654007,0.05206736513425603,1,6
7,0.3469540102989095,0.018822927361552,1,7
8,0.4554618699492161,0.07859961346425104,1,8
9,0.47856210710334235,-0.07376165576370997,1,9
0,0.26425589295801055,0.05861973976969048,2,0
1,0.36081117505840876,-0.1359721234584732,2,1
2,0.29887565130384475,-0.05429592705694675,2,2
3,0.45164549232793694,-0.007308274631590006,2,3
4,0.4119366463208156,0.05809319024311588,2,4
5,0.2643448508369516,-0.043508796517502724,2,5
6,0.46345053261538116,-0.1359721234584732,2,6
7,0.38814098616674897,-0.024098500235136378,2,7
8,0.33663890097384974,0.05116318180646928,2,8
9,0.2643448508369516,-0.04555786194476741,2,9
0,0.34091783247693574,0.0033840386654060417,3,0
1,0.4464283248731161,-0.017189935278420387,3,1
2,0.4464283248731161,-0.05100387304093368,3,2
3,0.5544193354132452,0.02426661820154452,3,3
4,0.45600477559502595,0.07996212239357015,3,4
5,0.5028225763026981,0.044662809123688474,3,5
6,0.3837725482010991,-0.14324585288751335,3,6
7,0.31318216714517755,-0.03747850973972344,3,7
8,0.6112960276566866,0.07996212239357015,3,8
9,0.507863190528731,-0.029379751318984182,3,9
0,0.29410064779471656,0.15170630692541331,4,0
1,0.6808397600443412,0.021402284389463677,4,1
2,0.5986040099930556,-0.01683020786773537,4,2
3,0.5085724476863112,-0.01683020786773537,4,3
4,0.45196854860461466,0.17004586313737025,4,4
5,0.3589615727811901,0.13251494649762763,4,5
6,0.5496922526261125,-0.06182744014405883,4,6
7,0.5734615296841696,0.06136998781738057,4,7
8,0.6860494678927113,0.11248732817107021,4,8
9,0.45311899309829395,0.14345058227924723,4,9
0,0.6848867526646318,0.14048997302347765,5,0
1,0.5972568982889758,0.20778865873470942,5,1
2,0.4333519659795312,-0.1054924071323069,5,2
3,0.5871983447592513,0.00429569018186049,5,3
