,spoc,riemann,n_components,fold_idx
0,0.48591422733234035,0.057421724784701755,1,0
1,0.35982877167928096,0.0785996134642507,1,1
2,0.4804387663254427,-0.04193594212403973,1,2
3,0.41950025678110325,-0.17267202863064335,1,3
4,0.46337132350756294,-0.14683874782971507,1,4
5,0.49041416419306294,-0.05469331903887409,1,5
6,0.3401515209905551,0.04537315711180212,1,6
7,0.36557365347329207,0.05699129040041606,1,7
8,0.5212140194796302,-0.03240191722551855,1,8
9,0.45546186994921356,-0.05469331903887409,1,9
0,0.4001831709047583,-0.06877161072481486,2,0
1,0.5922514156942749,0.018839253772800046,2,1
2,0.43325516223190996,-0.04517130471107644,2,2
3,0.41193664632081317,-0.0435087965175025,2,3
4,0.5270959631343076,0.05861973976969004,2,4
5,0.2700151183529459,0.007506450493016681,2,5
6,0.25612656608748896,-0.09888871783197328,2,6
7,0.46345053261538804,-0.10723093994937871,2,7
8,0.555931132822292,0.015993355057824843,2,8
9,0.555931132822292,-0.021031966197219143,2,9
0,0.5061202879417029,0.01648896979652903,3,0
1,0.3671507054134491,0.05087764328241906,3,1
2,0.27810345561083627,0.049537464398587416,3,2
3,0.4126424368026832,0.042831653649412105,3,3
4,0.4832823132054418,-0.013793983314942304,3,4
5,0.5852915622748196,-0.06529283136306097,3,5
6,0.6112960276566856,0.1391304863732713,3,6
7,0.3409178324769514,0.015057781658174063,3,7
8,0.1551889204898501,0.15669488548424215,3,8
9,0.5710501985724905,-0.17248105370524391,3,9
0,0.4388278183817369,-0.05740646426900109,4,0
1,0.5841151085333336,0.08215864902050485,4,1
2,0.5394281214931151,-0.015929112034103632,4,2
3,0.4388278183817369,-0.13838840213422543,4,3
4,0.43946604199574535,0.14053658320840967,4,4
5,0.294100647794719,0.037029642067539115,4,5
6,0.45196854860461344,-0.13838840213422543,4,6
7,0.4527400498674322,0.2819611753318002,4,7
8,0.5496922526261151,0.033488745116493024,4,8
9,0.45196854860461344,0.1278181468414077,4,9
0,0.3152592136687722,0.2631152607045041,5,0
1,0.37377035588416074,0.23246171808445104,5,1
2,0.5506617993950019,-0.07693131101258821,5,2
3,0.5932599267916219,0.12554059718942245,5,3
4,0.5834247828637418,-0.03657534671018525,5,4
5,0.46029117289460086,0.1486186045979382,5,5
6,0.3278970736776585,0.056233641005248636,5,6
7,0.3445061205008728,0.03880976679956838,5,7
8,0.21222276029127918,-0.17349658757543973,5,8
9,0.5506617993950019,0.12236161361617504,5,9
0,0.3430495912194983,-0.12877332868157598,6,0
1,0.5160909442181724,0.1556544530480829,6,1
2,0.4700637991101836,-0.1988936437583564,6,2
3,0.6037870433950203,0.21163744372238036,6,3
4,0.5160909442181724,0.17663436794442244,6,4
5,0.4700637991101836,0.01170568967579777,6,5
6,0.26568434252964657,0.0892741608017591,6,6
7,0.5236494590727208,-0.07513553058006739,6,7
8,0.46853843272552176,0.2755486485967853,6,8
9,0.42532017681798906,0.19964538900754514,6,9
0,0.5690557694850964,0.06040974863323645,7,0
1,0.48636655707631127,0.025636373253601685,7,1
2,0.3726787491989969,-0.29304725400889353,7,2
3,0.38370793671505565,0.07693066279017058,7,3
4,0.639657078905564,-0.08431064049689185,7,4
5,0.619441269167309,-0.050511928572390064,7,5
6,0.4895857785179102,0.06635644063839319,7,6
7,0.5690557694850964,0.12688887185680853,7,7
8,0.43146787373794726,0.06484304619402692,7,8
9,0.5251910380479009,0.03424229596472639,7,9
0,0.21322171770035137,-0.1547297377215755,8,0
1,0.4617518368272079,0.040068488254941914,8,1
2,0.3208846584592211,0.11173115230774067,8,2
3,0.4161151009315208,-0.06721065461345122,8,3
4,0.6190718793012928,0.3209558160053675,8,4
5,0.41506165772204096,-0.04811150486016613,8,5
6,0.5547874898549434,0.08240684338099469,8,6
7,0.32554446357485955,0.12029772385669668,8,7
8,0.4596549081238035,-0.08578707411897257,8,8
9,0.38317354682054117,0.1028487475578117,8,9
0,0.5813130366016657,0.1466452599091559,9,0
1,0.5713011236378538,-0.8009990068352197,9,1
2,0.4424390730662815,-0.6599571772202941,9,2
3,0.29472640290201046,-0.21285778071324168,9,3
4,0.3685597028100669,-0.21285778071324168,9,4
5,0.31510499164456784,-0.5727664775013308,9,5
6,0.6308081512561892,0.20977587471152648,9,6
7,0.23633511675852759,-0.15171840754861043,9,7
8,0.5813130366016657,0.06023834709277576,9,8
9,0.3685597028100669,0.17385698924856352,9,9
0,0.41146890190091445,-0.12230171888992669,10,0
1,0.5421415939193808,-0.17619874176094164,10,1
2,0.4395831450450426,0.23790629487263593,10,2
3,0.4233524306723979,-0.1644347650972564,10,3
4,0.2037588459454509,-0.38867005876829674,10,4
5,0.6373076053821767,-0.510448865235209,10,5
6,0.4355426386406177,-0.46910459322611064,10,6
7,0.35535688843202995,0.03542121136938092,10,7
8,0.43361784938429426,0.19064078896697823,10,8
9,0.5421415939193808,0.007718880760799518,10,9
0,0.3189867538685881,0.15720891824464922,11,0
1,0.5579781858537654,-0.20314622091486512,11,1
2,0.2205243962114809,-0.010310868292163766,11,2
3,0.5909448145750145,0.04209135818563792,11,3
4,0.2112934426062505,0.11566374118101785,11,4
5,0.43695094146765656,-0.010310868292163766,11,5
6,0.6013856885846827,0.019216291860231105,11,6
7,0.36275326477300807,0.218692254716347,11,7
8,0.23100433510746843,-0.5332832746163696,11,8
9,0.5890089263645273,-0.06632966743352653,11,9
0,0.4030791219718718,0.08882940223823432,12,0
1,0.39236170168635753,-0.015082582820169943,12,1
2,0.46475939720042636,0.015884268581422112,12,2
3,0.37163439793340103,0.2187706547235332,12,3
4,0.5069195685550814,-0.01701411216549542,12,4
5,0.34961771995997815,0.2084741571992057,12,5
6,0.3953402893335316,-0.015082582820169943,12,6
7,0.3394843625162818,-0.15453216272501114,12,7
8,0.22446274183522308,0.11071386753659629,12,8
9,0.5123897272157236,-0.15453216272501114,12,9
0,0.3431698318307388,-0.133308313844118,13,0
