,spoc,riemann,n_components,fold_idx
0,14.587752916906524,14.659311407829168,1,0
1,13.990848863495865,14.115443750021239,1,1
2,14.792921222890252,14.732800296219828,1,2
3,14.198777869750792,13.997577288251454,1,3
4,13.460914563761023,13.527365145991478,1,4
5,13.17084300286983,12.686197633731036,1,5
6,12.600647250541039,12.46129352979598,1,6
7,12.515038696038761,12.466027446123782,1,7
8,13.06593323895666,13.008448303888963,1,8
9,12.288329631894065,12.750518255362232,1,9
0,13.940944503814446,13.161045805578151,2,0
1,14.120846254469006,12.981457926005163,2,1
2,14.32966029333794,13.048724623332312,2,2
3,13.78244214946328,12.917764533527727,2,3
4,13.151023295049946,12.401612969565475,2,4
5,13.086669519049863,11.904166649006145,2,5
6,12.664939667266166,11.795111772636597,2,6
7,12.849085430368792,11.361378647844596,2,7
8,13.085761660888465,12.012584972227042,2,8
9,11.083368314197882,11.550321895892349,2,9
0,13.662579091007897,12.474017724164375,3,0
1,13.019423411747484,12.040091167545357,3,1
2,13.450679078482342,12.51741987560492,3,2
3,13.085606048970584,12.93086475204838,3,3
4,12.357185491777653,10.986988279712108,3,4
5,11.55337764264542,10.834555562943798,3,5
6,11.833907187544822,10.65258340763516,3,6
7,11.386182509243975,10.676016926305396,3,7
8,12.44946643844424,11.272481341322525,3,8
9,11.090350391918445,10.948938769375522,3,9
0,12.742357028154762,11.020184272749164,4,0
1,12.367277423862578,11.418647569328643,4,1
2,12.526761990142838,11.64088116388966,4,2
3,12.08786835020457,11.608103739788419,4,3
4,11.819944192295422,11.00529793245988,4,4
5,11.533395853491815,10.328870855418106,4,5
6,11.095898294798438,9.672110854795182,4,6
7,10.682585129503371,9.81131563912622,4,7
8,12.198905480360812,10.809559434355345,4,8
9,11.260464697473243,10.666356175934549,4,9
0,11.682552422926829,10.91379034953262,5,0
1,11.544431090651782,10.862010960248874,5,1
2,11.958603620675833,11.203677676040025,5,2
3,11.416172851862848,11.322023330905377,5,3
4,11.789850195075198,10.168040755344164,5,4
5,11.09318726352688,8.80060015152874,5,5
6,10.434333490974453,9.994197084079797,5,6
7,9.24693296507011,10.522434413264657,5,7
8,11.413545758713203,10.94801898564628,5,8
9,10.738834240921523,10.34517243553931,5,9
0,11.288565549504732,9.837571272198758,6,0
1,11.358313231971254,10.368250437287477,6,1
2,11.783339827905971,10.996477646167882,6,2
3,11.190282798433131,10.48505353922986,6,3
4,11.00050832488727,10.367916559158964,6,4
5,10.041863243792779,8.417661643282296,6,5
6,9.956312880686061,9.45961945590153,6,6
7,9.636498733814093,9.47026724367194,6,7
8,11.382564148571397,10.457858463684833,6,8
9,10.396204094680558,10.318922056942016,6,9
0,10.973837367921684,11.02274854091659,7,0
